LocalisedField254,LocalisedField253,LocalisedField252
"City, State: Colonial Heights,  , VA",Store Number: 2048,Manager: Max Croston

Textbox47,Textbox49,Textbox53,Textbox51,Textbox57,Textbox55,Textbox61,Textbox63,Textbox65,Textbox67,Textbox69,Textbox75,Textbox73,Textbox71,Textbox59,Textbox87,Textbox89,Textbox94,Textbox125,Textbox96,Textbox95,Textbox97,Textbox98,Textbox99,Textbox100,Textbox101,Textbox102,Textbox103,Textbox104,Textbox105,Textbox106,Textbox111,Textbox112,Textbox113,Textbox114,Textbox115,Textbox116,Textbox117,Textbox118,Textbox119,Textbox120,Textbox121,Textbox122,Textbox123,Textbox124,Description,Total,Quantity,WedAM,WedPM,ThuAM,ThuPM,FriAM,FriPM,SatAM,SatPM,SunAM,SunPM,MonAM,MonPM,TueAM,TuePM
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Fresh Bread,8.00,4,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Cookie,206.25,186,8.75,26.25,15.75,17.50,15.75,33.00,19.25,14.00,5.25,7.00,12.25,15.75,7.00,8.75
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Combos / Kids 1/2 off,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Box Lunch,665.25,73,19.00,8.75,115.25,17.50,0.00,0.00,8.75,0.00,39.50,0.00,27.75,17.50,290.25,121.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Platters / Mini Jimmys,389.65,7,119.90,0.00,0.00,0.00,119.90,0.00,0.00,0.00,149.85,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Delivery Fee,286.50,191,33.00,18.00,27.00,13.50,34.50,19.50,12.00,12.00,16.50,9.00,34.50,15.00,25.50,16.50
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Other,0.00,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Modifiers,311.20,2601,28.35,19.90,13.65,31.20,31.75,16.45,8.80,20.55,25.00,8.95,24.80,38.45,18.05,25.30
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Total of Above,"11,114.50",0,"1,026.35",646.05,913.40,624.75,970.10,757.85,545.20,632.05,922.25,663.75,940.15,649.85,"1,050.25",772.50
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,- OVER-RINGS,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
